date,ltla,positive,month,number_exposures,duration,maxRiskScore,cumRiskScore,riskScore_1.1.,riskScore_1.3.,riskScore_1.6.,riskScore_1.8.,riskScore_2.2.,riskScore_3.3.,riskScore_4.4.,riskScore_5.6.,peak_day,peak_duration,firstExpDate,lastExpDate,randomExpDate,classification,bg_rate_cases_app,avgRiskScore,maxProximityScore,avgProximityScore,region,RuralUrbanScore
2022-02-19,W06000018,0.017740409586494997,Feb22,1,1438.0907704375015,133.9301552816304,133.9301552816304,0,0,0,0,0,0,0,0,4,1,410,410,410,fleeting,0.01850660555168069,133.9301552816304,0.0976835015855057,0.0976835015855057,Wales,3.1997760947520506
2021-11-03,E07000069,0.028811933602042053,Nov21,3.7845578099366315,5753.404749487654,184.7257871412032,605.1009409100772,0,0,0,0,0,0,0,0,2,3.7845578099366315,296,296,296,one-day,0.01101988591693435,152.74075945394347,0.12059214263651095,0.10342866381674329,East_of_England,3.241396909675088
2021-12-02,E07000032,0.017740409586494997,Dec21,1,1438.0907704375015,133.9301552816304,133.9301552816304,0,0,0,0,0,0,0,0,1,1,330,330,330,fleeting,0.01458541179920061,133.9301552816304,0.0976835015855057,0.0976835015855057,East_Midlands,3.1997760947520506
2021-08-25,E08000025,0.017740409586494997,Aug21,1,1438.0907704375015,133.9301552816304,133.9301552816304,0,0,0,0,0,0,0,0,2,1,226,226,226,fleeting,0.01142150792895529,133.9301552816304,0.0976835015855057,0.0976835015855057,West_Midlands,3.1997760947520506
2022-02-05,E07000211,0.028811933602042053,Feb22,3.7845578099366315,5753.404749487654,184.7257871412032,605.1009409100772,0,0,0,0,0,0,0,0,5,3.7845578099366315,397,397,397,one-day,0.0221108841868943,152.74075945394347,0.12059214263651095,0.10342866381674329,South_East,3.241396909675088
2021-12-28,E07000139,0.15833393478355007,Dec21,72.56110108694084,113624.4800438818,510.70224531843616,15118.432013152365,0,0,0,0,0,0,0,0,1,28.912556837045482,355,358,358,household,0.0570731173928175,199.7868098042868,0.31705054892813783,0.131283711848216,East_Midlands,3.2930900587496574
2022-05-09,E06000015,0.042918606352129324,May22,10.027558878955022,12507.695656251883,200.6091630596916,1275.276164224107,0,0,0,0,0,0,0,0,3,4.602078080765491,482,486,486,recurring,0.00552125938426279,120.90557084592895,0.14299930210129377,0.10178099021763129,East_Midlands,3.189370380250056
2021-12-24,E09000013,0.017740409586494997,Dec21,1,1438.0907704375015,133.9301552816304,133.9301552816304,0,0,0,0,0,0,0,0,6,1,349,349,349,fleeting,0.06758072619950445,133.9301552816304,0.0976835015855057,0.0976835015855057,London,3.1997760947520506
2022-02-03,E07000164,0.017740409586494997,Feb22,1,1438.0907704375015,133.9301552816304,133.9301552816304,0,0,0,0,0,0,0,0,3,1,395,395,395,fleeting,0.01854045091654859,133.9301552816304,0.0976835015855057,0.0976835015855057,Yorkshire_and_The_Humber,3.1997760947520506
2021-09-20,E07000031,0.028811933602042053,Sep21,3.7845578099366315,5753.404749487654,184.7257871412032,605.1009409100772,0,0,0,0,0,0,0,0,6,3.7845578099366315,258,258,258,one-day,0.00935151650391752,152.74075945394347,0.12059214263651095,0.10342866381674329,North_West,3.241396909675088
