Date,Retail and recreation,Grocery and pharmacy,Parks,Transit stations,Workplaces,Residential 
2020-02-21,102,97.4,100.4,94.9,88.9,102.3
2020-02-22,103.1,98.1,104.4,96.3,89.1,102.1
2020-02-23,104,98.7,107.7,97.7,89.4,102
2020-02-24,102.1,98.4,103,97.7,91.1,101.9
2020-02-25,101,99.1,100.6,98.3,93.3,101.6
2020-02-26,100.3,99.4,100.3,98.7,95.4,101.1
2020-02-27,99.9,99.9,100.9,99.4,97.4,100.7
2020-02-28,99.3,100.1,97.6,99.9,99.4,100.4
2020-02-29,100,100.6,96.6,99.9,99.7,100.3
2020-03-01,101.1,101.1,99.3,100.1,100,100.1
2020-03-02,102.1,101.9,102.6,100.4,100.4,100
2020-03-03,102.6,101.7,103.7,100.1,100.4,100
2020-03-04,102.7,102.1,103.1,100,100.4,100.1
2020-03-05,102.3,102.3,102.1,99.6,100.4,100.3
2020-03-06,102.9,103,107.1,99.7,100.7,100.1
2020-03-07,102.7,103.1,110.1,99.9,100.9,100.1
2020-03-08,102.3,103.1,110.3,99.4,100.9,100.1
2020-03-09,101.7,103.1,108.9,99,100.7,100.3
2020-03-10,101.1,103.4,107.9,98.6,100.6,100.4
2020-03-11,100.9,103.7,109,98,100.4,100.4
2020-03-12,100.9,105,109.6,97.3,100.3,100.6
2020-03-13,99.9,105.7,108.1,95.9,99.6,100.9
2020-03-14,98.4,106.4,107.3,93.9,99.1,101.1
2020-03-15,96.3,107.1,105,91.3,98.4,101.6
2020-03-16,95.9,109.4,108.6,89.4,97.1,102
2020-03-17,94,111.7,108.9,86.1,94.9,102.9
2020-03-18,91,114.1,107,82.1,91.6,104.1
2020-03-19,88.1,116,106.6,78,87.9,105.4
2020-03-20,84.4,115.9,105.7,73.6,84.3,107
2020-03-21,78.7,115,105.9,69.1,81,108.3
2020-03-22,72.3,112,108.9,64.9,77.3,109.3
2020-03-23,66.3,108,104.9,59.6,72.1,111.1
2020-03-24,58.3,101.6,102,54.3,66.1,113.6
2020-03-25,50.9,94.7,100.7,49.4,60.3,115.9
2020-03-26,43.3,87.3,98.9,44.7,54.7,118.1
2020-03-27,36.4,81.7,94.3,40.3,49.4,120.3
2020-03-28,31.7,76,86.3,36.3,44.9,121.6
2020-03-29,27.6,71.4,76,32.1,41.3,122.4
2020-03-30,23.4,68,71.1,29.3,37.9,123.9
2020-03-31,23,67.1,70.1,28.1,36.1,124.3
2020-04-01,22.7,66.3,67.7,27.4,35.4,124.6
2020-04-02,22.6,65.7,65.9,27,34.9,124.9
2020-04-03,22.6,65.6,66,26.9,34.4,125
2020-04-04,22.9,66,68.3,27.1,34.4,124.9
2020-04-05,23.3,66.7,71.6,27.9,34.6,124.9
2020-04-06,23.4,66.9,73.4,28,34.4,124.9
2020-04-07,23.6,67,75.4,28.4,34.4,124.9
2020-04-08,23.9,67.7,77.6,28.9,34.3,124.7
2020-04-09,24.4,69.4,79.1,29.3,34.3,124.4
2020-04-10,24.1,69,80.1,28.9,32.7,124.9
2020-04-11,24.1,69.6,80.3,29.1,32.7,124.9
2020-04-12,23.1,66.4,79.7,29,32.1,125
2020-04-13,22.4,65,79.6,28.1,30.3,125.6
2020-04-14,22.7,65.4,79.1,28.1,30.3,125.6
2020-04-15,22.9,65.4,80.3,28.3,30.4,125.6
2020-04-16,22.6,64.4,81.1,28.3,30.6,125.7
2020-04-17,23,64.9,79,28.9,32.3,125.3
2020-04-18,23,64.1,77.6,28.7,32.7,125.3
2020-04-19,24.3,67.4,80.6,29.4,34,125
2020-04-20,25.3,69,83.3,30.9,36.3,124.1
2020-04-21,25.1,68.7,85,31.1,36.7,124
2020-04-22,25.1,68.6,86,31.4,37.1,124
2020-04-23,25.3,68.6,87.9,31.9,37.6,123.9
2020-04-24,25.6,69.1,92,32.6,38,123.6
2020-04-25,26,69.9,95.4,33.4,38.4,123.4
2020-04-26,26.3,70.3,95.7,33.7,38.6,123.4
2020-04-27,26.6,70.4,95.6,34,38.9,123.4
2020-04-28,26.3,69.7,89.3,33.4,39,123.3
2020-04-29,26.1,69.4,84.7,33.1,39,123.3
2020-04-30,25.9,69.3,79.4,32.9,39,123.3
2020-05-01,25.7,69.1,76.9,32.7,39.1,123.3
2020-05-02,25.7,69.4,77.6,33,39.4,123.1
2020-05-03,25.6,69.4,76,33,39.7,123.1
2020-05-04,25.6,69.7,77,33.3,39.9,123
2020-05-05,26.1,70.9,83.6,34.3,40.1,123
2020-05-06,26.7,72,90.3,35.3,40.6,122.7
2020-05-07,27.7,73.9,97,36.3,41,122.4
2020-05-08,27.6,73.7,102.1,36.1,39.1,122.9
2020-05-09,27.6,73.9,103.9,36.3,39.3,122.9
2020-05-10,27.4,73.9,101.4,35.7,39.4,122.9
2020-05-11,27.7,74.1,99.7,35.7,39.7,122.9
2020-05-12,28,74.4,100.1,36,40,122.7
2020-05-13,28.1,74.3,98.7,36,40.3,122.7
2020-05-14,28.1,73.4,100.4,36.1,40.6,122.4
2020-05-15,29,74.4,101.4,37.3,43,121.6
2020-05-16,29.6,75,103,37.9,43.7,121.3
2020-05-17,30.4,76.1,112.3,39.7,44.6,121
2020-05-18,31,76.9,118.6,40.4,45,120.7
2020-05-19,31.6,77.6,124.9,41.1,45.4,120.4
2020-05-20,32.1,78.6,133.7,42,45.7,120
2020-05-21,32.6,79.3,137,42.4,46,120
2020-05-22,33,79.7,136,42.6,46.3,120
2020-05-23,33.3,80,133.6,42.4,46.6,120
2020-05-24,33.7,80.6,135.1,42.9,47,119.9
2020-05-25,33.6,80.1,149.4,42.7,44.4,120.1
2020-05-26,34.1,80.7,151.6,43,44.4,120
2020-05-27,34.6,80.9,151.1,43.1,44.6,120
2020-05-28,35.1,81.4,154.9,43.6,44.7,119.9
2020-05-29,35.7,82.3,162.4,44.4,45,119.6
2020-05-30,36.1,83.3,171,45.9,46.4,119.1
2020-05-31,36.7,84.1,175.1,46.9,47.9,118.9
2020-06-01,37.9,85.6,166.3,48.1,51.3,118.1
2020-06-02,38,85.4,168,48.7,52,117.9
2020-06-03,37.9,84.9,158.7,48.4,52.6,117.9
2020-06-04,37.7,84.1,150.4,48.3,53.1,117.9
2020-06-05,37.6,83.4,142.1,47.9,53.6,117.9
2020-06-06,37.4,82.6,132.9,46.7,53.3,118.1
2020-06-07,37.4,82,126.4,45.9,53,118.3
2020-06-08,37.4,81.4,122.1,45.4,53.1,118.3
2020-06-09,37.6,81.1,119,45.1,53.4,118.4
2020-06-10,37.7,81.1,118.9,45,53.7,118.3
2020-06-11,38,81.1,118.3,44.7,54,118.1
2020-06-12,38.3,81.1,117.9,44.6,54.3,118
2020-06-13,39,81.9,126.1,45.7,55.6,117.6
2020-06-14,39.6,82.3,132.3,46.4,56.9,117.3
2020-06-15,41,82.7,135,47,57.1,117.1
2020-06-16,42.1,83.3,134.6,47.3,57.4,117
2020-06-17,43.4,84,139.6,48.1,57.7,116.7
2020-06-18,44.1,84.3,138.6,48.4,57.7,116.6
2020-06-19,45.3,85.1,140.6,49.1,57.9,116.3
2020-06-20,46.4,86.1,141.7,50,58.4,116
2020-06-21,47.1,86.6,137.7,50.3,59.1,115.9
2020-06-22,47.3,86.7,139,50.4,59,115.7
2020-06-23,47.6,87.1,144.3,50.9,58.9,115.4
2020-06-24,48,88,153.4,51.6,59,115.1
2020-06-25,48.7,89.3,166.9,52.9,59.4,114.7
2020-06-26,49,89.6,171.1,53.4,59.6,114.6
2020-06-27,48.7,88.9,163.1,52.6,59,114.9
2020-06-28,49,88.6,161,52.3,58.6,115
2020-06-29,49,88.4,153.9,52.1,58.9,115
2020-06-30,49.4,88.1,145.9,51.9,59.3,115
2020-07-01,49.7,87.4,136.7,51.6,59.4,115
2020-07-02,50,86.7,127.7,51.3,59.6,115
2020-07-03,50.3,86.3,123.4,51.1,59.9,115
2020-07-04,51.4,86.3,126.3,52.3,60.7,114.6
2020-07-05,52.6,86.4,130.7,53.6,61.1,114.3
2020-07-06,53.9,86.9,138.4,54.6,61.3,113.9
2020-07-07,54.6,86.9,141,55.3,61.3,113.7
2020-07-08,55.3,86.7,140.3,55.6,61.4,113.6
2020-07-09,56,86.6,140.1,56,61.6,113.4
2020-07-10,57.1,86.9,146.9,57.3,61.7,112.9
2020-07-11,57.7,87.3,154.9,58.6,62.3,112.6
2020-07-12,58.4,87.7,162,60,62.9,112.1
2020-07-13,58.6,87.7,161.3,60.1,62.9,112.1
2020-07-14,59.1,87.9,164.3,60.4,62.9,112
2020-07-15,60.4,88,167.6,60.4,63,111.9
2020-07-16,62,88.3,174.3,60.6,63.3,111.6
2020-07-17,63.1,88.3,178,60.4,63.6,111.4
2020-07-18,64.1,88.1,176.9,60,63.6,111.3
2020-07-19,65.3,88,173.3,59.3,63.6,111.3
2020-07-20,66.7,88.3,179.4,59.3,63.6,111.1
2020-07-21,67.9,88.4,185.6,59.3,63.6,110.9
2020-07-22,68.4,88.7,190.9,59.7,63.6,110.7
2020-07-23,68.6,88.9,190.3,59.7,63.3,110.7
2020-07-24,68.7,88.6,190.6,59.9,63,110.7
2020-07-25,68.7,88.1,185.4,59.6,62.9,110.9
2020-07-26,69,88,185.4,59.9,63,110.9
2020-07-27,68.4,87.3,174.9,59.3,62.6,111
2020-07-28,68.7,87.3,172.6,59.4,62.6,111.1
2020-07-29,69.3,87.4,175.1,59.9,62.3,111
2020-07-30,70.3,87.7,180.7,60.4,62.1,110.9
2020-07-31,70.7,87.9,184.3,60.9,61.9,110.6
2020-08-01,71.3,88.1,191,61.9,62,110.3
2020-08-02,72,88.4,193.1,62.3,62,110.1
2020-08-03,74,88.9,203.9,63.3,62.3,109.7
2020-08-04,75,88.4,202.3,63.3,62.1,109.6
2020-08-05,76.3,88,199.3,63,62.1,109.6
2020-08-06,76.3,87.6,199.3,62.9,62.1,109.4
2020-08-07,76.4,87.4,198.4,62.6,62.1,109.4
2020-08-08,76.6,87.4,201.3,62.4,62.3,109.3
2020-08-09,76.6,87.4,202.7,62.4,62.4,109.1
2020-08-10,77.1,87.4,203.1,62.3,62.6,109.1
2020-08-11,78,87.7,207.3,62.4,62.7,109
2020-08-12,78.3,88,209.3,62.6,62.9,108.9
2020-08-13,78.1,88,204.9,62.4,62.9,109
2020-08-14,78.4,88,199.4,62.4,63.1,109.1
2020-08-15,78.7,87.9,193.4,62.1,63.1,109.3
2020-08-16,78.6,87.4,186.1,61.4,62.9,109.6
2020-08-17,78.9,87,180.7,61.3,62.9,109.6
2020-08-18,79.1,86.7,177.1,61.3,63.1,109.6
2020-08-19,79,85.9,168.4,61,63.3,109.7
2020-08-20,79.7,85.9,173,61.4,63.6,109.4
2020-08-21,79.7,85.7,170.1,61.3,63.7,109.4
2020-08-22,80,85.7,170.6,61.4,64,109.4
2020-08-23,80.4,85.9,172.3,61.9,64.4,109.3
2020-08-24,81.3,86.1,175.9,62.3,64.7,109.1
2020-08-25,81,85.7,167,61.7,64.6,109.3
2020-08-26,82.7,86.6,174.3,62.6,64.9,109
2020-08-27,82.4,86.3,164.9,62.3,65,109.1
2020-08-28,83.3,86.9,164.1,62.7,65,109
2020-08-29,83.9,87.1,163.6,63.1,64.9,108.9
2020-08-30,85.4,87.6,167.9,64,64.9,108.7
2020-08-31,86.3,86.9,174.6,63.3,61.7,109.3
2020-09-01,86,88.3,183.6,64.4,62.1,108.9
2020-09-02,83.6,88.3,177.6,64,62.4,108.9
2020-09-03,83.7,88.6,178,64.3,62.9,108.7
2020-09-04,83.6,88.4,179.4,64.6,63.6,108.4
2020-09-05,83.7,88.6,180.4,64.4,63.9,108.4
2020-09-06,82.9,88.9,176.9,63.9,63.9,108.6
2020-09-07,80,89.9,163.4,64.9,67.4,107.9
2020-09-08,79.4,89.3,160.6,65.1,67.7,107.7
2020-09-09,79.4,89.3,163.3,65.9,68.1,107.4
2020-09-10,79.4,89.4,166.1,66.4,68.4,107.1
2020-09-11,79.3,89.6,166.3,66.9,68.7,107
2020-09-12,79.1,89.7,167,67.1,68.9,107
2020-09-13,79.1,89.7,170.6,67.6,68.9,106.9
2020-09-14,79.1,89.9,177.1,68.1,69.9,106.7
2020-09-15,79.1,90,179.6,68.3,70.7,106.7
2020-09-16,79,90,180.1,68.4,71.1,106.7
2020-09-17,79,90,181.6,68.6,71.7,106.7
2020-09-18,79,90,183.4,68.6,72.1,106.7
2020-09-19,79,90,184.3,68.4,72,106.7
2020-09-20,78.9,90,183,68.1,72,106.9
2020-09-21,78.9,90.1,180.4,67.9,71.9,106.9
2020-09-22,78.4,90.1,176.6,67.6,71.9,106.9
2020-09-23,77.6,90.1,169.3,66.9,72,107.1
2020-09-24,76.7,90.1,160.7,66,72.1,107.4
2020-09-25,76.3,90.4,154.1,65.3,72.3,107.7
2020-09-26,76.1,90.6,148.6,64.6,72.4,108
2020-09-27,75.7,90.4,142.9,63.7,72.4,108.1
2020-09-28,75.4,90.4,137,63.1,72.7,108.4
2020-09-29,75.4,90.6,134.6,62.9,73,108.6
2020-09-30,75.6,90.6,132.3,62.9,73.1,108.6
2020-10-01,76,91,133.4,63.1,73.6,108.4
2020-10-02,75.3,90.6,129.9,63.1,73.9,108.6
2020-10-03,74.4,90.3,123,62.3,73.4,108.9
2020-10-04,73.6,90,116,61.4,73.1,109.1
2020-10-05,72.9,89.7,112.9,61.6,73.3,109.1
2020-10-06,72.3,89.6,109,61.6,73.3,109.1
2020-10-07,72.6,89.9,112.9,61.9,73.6,109
2020-10-08,72,89.4,110.7,61.6,73.4,109.1
2020-10-09,72.3,89.7,112.9,61.6,73.6,109
2020-10-10,72.7,90,117.7,62,74.1,108.9
2020-10-11,73.3,90.3,125.3,62.7,74.6,108.7
2020-10-12,72.9,90,123.3,62.3,74.4,108.9
2020-10-13,72.4,89.7,122.4,61.9,74.3,109
2020-10-14,72,89.7,121.3,61.6,74.1,109.1
2020-10-15,72,90,122.4,61.7,74.1,109.1
2020-10-16,72.1,90.3,123.3,61.7,74,109.3
2020-10-17,71.9,90.4,123.9,61.3,73.7,109.4
2020-10-18,71.4,90.4,122,60.6,73.3,109.6
2020-10-19,71.6,90.7,124.6,60.4,73.3,109.6
2020-10-20,71.7,91,126.6,60.4,73.3,109.7
2020-10-21,71.1,90.7,123,59.9,73,110
2020-10-22,71.3,90.9,123.7,59.6,72.9,110.1
2020-10-23,71.1,90.9,122.9,59,72.4,110.3
2020-10-24,70.4,90.4,118.9,58.4,72,110.4
2020-10-25,70.6,90.9,118.3,58.3,71.9,110.4
2020-10-26,71.3,91,120.4,57.9,70.4,110.7
2020-10-27,71.4,90.9,117.9,57,69,111
2020-10-28,72.6,91.3,122,56.9,67.9,111.1
2020-10-29,72.4,90.9,117.7,56,66.4,111.6
2020-10-30,72.7,91,118.6,55.7,65.4,111.7
2020-10-31,72.7,91.4,117.9,55.7,65.4,111.7
2020-11-01,72.7,91,112.7,55.6,65.4,111.7
2020-11-02,73.3,91.3,107.9,56.1,67,111.4
2020-11-03,74.7,91.9,107.3,57.3,68.7,111
2020-11-04,76.4,92.4,106.1,58.6,70.4,110.4
2020-11-05,72.6,91.7,106.7,58,71.3,110.6
2020-11-06,68.4,90.7,103.9,56.7,71.9,111.1
2020-11-07,65.3,89.7,107.9,54.7,69.7,111.9
2020-11-08,60.9,88.7,109.1,52.3,67.1,112.6
2020-11-09,56.6,87.6,108.7,50.9,66.4,113.1
2020-11-10,52.1,86.6,109.9,49.4,65.6,113.7
2020-11-11,46.7,85.1,107,47.3,64.6,114.6
2020-11-12,47.6,85.7,108.6,47.6,64.4,114.6
2020-11-13,48.4,86.3,108.9,47.9,64.4,114.4
2020-11-14,48.6,86.3,102.9,47.7,64.4,114.4
2020-11-15,49,86.4,101.4,47.7,64.4,114.4
2020-11-16,49.1,86.6,101,47.7,64.4,114.4
2020-11-17,49.1,86.7,99.9,47.6,64.4,114.4
2020-11-18,49.1,86.9,99,47.6,64.4,114.4
2020-11-19,49.1,86.9,97.1,47.4,64.4,114.4
2020-11-20,49,86.9,93.7,47.3,64.4,114.6
2020-11-21,49.4,87.4,96.7,47.7,64.7,114.4
2020-11-22,50,88,101,48.3,65,114.3
2020-11-23,50.3,88.3,101.3,48.3,65,114.3
2020-11-24,50.4,88.6,100.9,48.3,65.1,114.3
2020-11-25,50.7,88.7,101.1,48.3,65.3,114.3
2020-11-26,51,88.9,101.7,48.3,65.6,114.1
2020-11-27,51.4,89,103.9,48.4,65.6,114
2020-11-28,51.6,89,103.4,48.6,65.9,114
2020-11-29,51.6,89,100.6,48.4,66.1,114
2020-11-30,52,89.4,98.7,48.6,66.4,113.9
2020-12-01,52.6,89.9,99.3,48.9,66.7,113.7
2020-12-02,54.9,90.7,99,49.7,67.4,113.3
2020-12-03,56.6,90.9,94.7,50.4,68,113.1
2020-12-04,58.3,91.1,92.4,51.3,68.7,112.9
2020-12-05,61,92,92.9,53.3,70.3,112.3
2020-12-06,63.4,92.7,92.3,55.1,71.9,112
2020-12-07,65.6,93.3,93,56,72.3,111.7
2020-12-08,67.3,93.6,91,56.6,72.7,111.4
2020-12-09,67.3,93.7,91.3,56.7,72.7,111.4
2020-12-10,67.6,94.4,94,57,72.7,111.3
2020-12-11,67.9,94.9,95.9,57.4,72.9,111.1
2020-12-12,67.7,95,96.3,57.7,73,111.1
2020-12-13,67,94.6,91.7,57.1,72.9,111.3
2020-12-14,67.1,95,92.6,57.3,72.7,111.3
2020-12-15,68,95.7,95,57.7,72.6,111.3
2020-12-16,67.7,96,93.7,57.4,72.3,111.4
2020-12-17,68.1,96.7,95.6,57.4,72,111.4
2020-12-18,68.1,96.9,94.3,56.9,71.3,111.7
2020-12-19,67.7,97.1,93.6,56.6,71.1,111.7
2020-12-20,67.4,98,98.7,56.6,71.3,111.6
2020-12-21,67.3,100,97.3,55.1,69.3,112.1
2020-12-22,67.1,102.4,97.9,53.6,67,112.7
2020-12-23,68,106.1,98.1,52.4,64.3,113.3
2020-12-24,67.1,107.9,99.1,50.3,60,114.4
2020-12-25,58.7,95.3,97.6,44.6,53.1,116.1
2020-12-26,52.9,86.7,94.1,39.6,47.3,117.1
2020-12-27,50.7,84.3,93.9,37.6,45,117.6
2020-12-28,47.1,79.1,97.3,35,41,119
2020-12-29,44.1,75.1,97.3,33.3,38.4,120.1
2020-12-30,42,71.4,101.6,32,36.6,120.9
2020-12-31,39.4,69.7,100.9,30.9,36,121.3
2021-01-01,40.7,73.3,103.7,31.3,36.3,122
2021-01-02,42.6,78.9,106.9,32.7,38.4,122.1
2021-01-03,41.7,78.9,105.3,32.3,38.4,122.3
2021-01-04,41.4,79.9,100.7,33.4,42.4,121.3
2021-01-05,39.4,78.4,96.1,33.6,45,120.7
2021-01-06,36.6,75.7,91.7,33.6,47.4,120.4
2021-01-07,35.3,72.3,88.4,34,50.1,120
2021-01-08,38,78.1,86.1,36.6,55,118.6
2021-01-09,38,78.4,85.9,36.7,55.9,118.4
2021-01-10,37.4,78,85.1,36.3,55.6,118.6
2021-01-11,36.6,76.9,85.1,36.1,55.4,118.7
2021-01-12,36.6,76.4,86.7,36.1,55.3,118.7
2021-01-13,36.3,75.7,84.3,35.9,55.1,118.7
2021-01-14,35.7,74.7,81.6,35.6,54.7,118.9
2021-01-15,35.7,74.7,82.4,35.6,54.4,118.7
2021-01-16,35.4,74.1,80,35.3,54.1,118.7
2021-01-17,35.6,74.1,83,35.6,54.1,118.6
2021-01-18,35.4,74.1,83.9,35.6,54,118.4
2021-01-19,35.1,73.7,81.6,35.4,53.9,118.4
2021-01-20,35,73.6,80.9,35.3,53.7,118.4
2021-01-21,35.6,74.4,84,35.6,54,118.1
2021-01-22,35.9,74.9,85.7,35.7,54.3,118.1
2021-01-23,36.3,75.4,88.4,36.1,54.6,118
2021-01-24,35.7,74.9,86.7,35.7,54.1,118.1
2021-01-25,35.9,75.1,88,35.9,54,118.1
2021-01-26,36,75.4,87.4,35.9,54.1,118.1
