date,Wales.lower,Wales.upper
2020-05-12,0.7,1
2020-05-19,0.6,1
2020-05-28,0.7,1
2020-06-05,0.7,0.9
2020-06-12,0.7,1
2020-06-19,0.7,1
2020-06-26,0.7,1
2020-07-05,0.7,0.9
2020-07-10,0.7,1
2020-07-17,0.6,0.8
2020-07-24,0.6,0.9
2020-07-31,0.7,0.9
2020-08-07,0.7,1.1
2020-08-14,0.8,1.1
2020-08-21,0.7,1
2020-08-28,0.5,0.9
2020-09-04,0.5,1
2020-09-11,0.7,1
2020-09-18,0.7,1.2
2020-09-25,1,1.4
2020-10-02,1,1.5
2020-10-09,1,1.4
2020-10-16,1.1,1.4
2020-10-23,1,1.4
2020-10-30,1,1.3
2020-11-06,1,1.3
2020-11-13,0.9,1.2
2020-11-20,0.8,1
2020-11-27,0.8,1
2020-12-04,0.8,1.1
2020-12-11,0.9,1.2
2020-12-16,1,1.3
2020-12-22,1,1.3
2021-01-06,0.8,1.1
2021-01-13,0.8,1.1
2021-01-20,0.7,0.9
2021-01-27,0.7,0.9
2021-02-03,0.7,0.9
2021-02-10,0.7,0.9
2021-02-17,0.6,0.9
2021-02-24,0.7,0.9
2021-03-03,0.7,0.9
2021-03-10,0.6,0.8
2021-03-17,0.6,0.9
2021-03-24,0.7,0.9
2021-03-30,0.7,0.9
2021-04-06,0.6,0.9
2021-04-13,0.7,1.2
2021-04-20,0.7,1
2021-04-27,0.8,1
2021-05-04,0.7,1
2021-05-11,0.7,1
2021-05-18,0.8,1
2021-05-26,0.8,1.1
2021-06-02,0.8,1.2
2021-06-08,1,1.4
2021-06-16,1.1,1.4
2021-06-22,1.1,1.5
2021-06-29,1.215628,1.453602
2021-07-06,1.26186,1.501084
2021-07-13,1.29615,1.475219
2021-07-20,1.218546,1.322199
2021-07-27,1.063003,1.21676
2021-08-03,0.843645,1.008401
2021-08-10,0.861045,0.972854
2021-08-17,0.979699,1.198294
2021-08-24,1.221828,1.389781
2021-08-31,1.213665,1.372323
2021-09-07,1.120103,1.245687
2021-09-14,1.041614,1.175774
2021-09-21,0.894438,0.990525
2021-09-28,0.867019,1.083593
2021-10-05,0.861678,1.009924
2021-10-12,0.858416,1.002468
2021-10-19,0.969779,1.096975
2021-10-26,0.972198,1.127383
2021-11-02,0.881026,1.017597
2021-11-09,0.876555,0.971408
2021-11-16,0.869443,0.959746
2021-11-23,0.887337,1.03823
2021-11-30,0.853736,0.976286
2021-12-07,0.915687,1.012076
2021-12-14,0.934788,1.028979
2021-12-21,0.947094,1.04118
2022-01-04,1.335046,1.586882
2022-01-11,1.194846,1.48409
2022-01-18,0.493882,0.886655
2022-01-25,0.59662,0.926666
2022-02-01,0.939533,1.085038
2022-02-08,0.859279,0.972503
2022-02-15,0.741355,0.868489
2022-02-22,0.768915,0.876029
2022-03-01,0.733969,0.878246
2022-03-08,0.869386,0.996355
2022-03-15,1.007355,1.201431
2022-03-22,1.088483,1.243314
2022-03-29,1.062164,1.19426
2022-04-12,0.912464,1.101104
2022-04-26,0.732145,0.916432
2022-05-10,0.718348,0.870563
2022-05-24,0.711573,0.851979
2022-06-21,1.03555,1.250322
2022-07-05,1.159323,1.334635
2022-07-19,0.897771,1.085624
2022-08-03,0.7,1.1
2022-08-17,0.7,1.1
2022-08-31,0.7,1.1
2022-09-14,0.7,1.1
2022-09-28,0.8,1.2
2022-10-11,1.1,1.4
2022-10-26,0.9,1.3
2022-11-09,0.7,1
2022-11-23,0.7,1
2022-12-07,0.8,1
2022-12-21,0.9,1.2
